Scientific Name,Status
Agrochola circellaris,Only in Natuurpunt
Agrochola helvola,Only in Natuurpunt
Agrochola litura,Only in Natuurpunt
Agrochola lota,Only in Natuurpunt
Agrochola lunosa,Only in Natuurpunt
Agrochola lychnidis,Only in Natuurpunt
Agrochola macilenta,Only in Natuurpunt
Agrochola nitida,Only in Natuurpunt
Agrocybe arvalis,Only in Natuurpunt
Agrocybe cylindracea,Only in Natuurpunt
Agrocybe dura,Only in Natuurpunt
Agrocybe elatella,Only in Natuurpunt
Agrocybe erebia,Only in Natuurpunt
Agrocybe firma,Only in Natuurpunt
Agrocybe ochracea,Only in Natuurpunt
Agrocybe pediades,Only in Natuurpunt
Agrocybe praecox,Only in Natuurpunt
Agrocybe putaminum,Only in Natuurpunt
Agrocybe rivulosa,Only in Natuurpunt
Agrocybe vervacti,Only in Natuurpunt
Agroeca brunnea,Only in Natuurpunt
Agroeca cuprea,Only in Natuurpunt
Agroeca lusatica,Only in Natuurpunt
Agroeca proxima,Only in Natuurpunt
Agromyza abiens,Only in Natuurpunt
Agromyza albitarsis,Only in Natuurpunt
Agromyza alnibetulae,Only in Natuurpunt
Agromyza alnivora,Only in Natuurpunt
Agromyza anthracina,Only in Natuurpunt
Agromyza demeijerei,Only in Natuurpunt
Agromyza dipsaci,Only in Natuurpunt
Agromyza flaviceps,Only in Natuurpunt
Agromyza flavipennis,Only in Natuurpunt
Agromyza idaeiana,Only in Natuurpunt
Agromyza igniceps,Only in Natuurpunt
Agromyza johannae,Only in Natuurpunt
Agromyza myosotidis,Only in Natuurpunt
Agromyza nana,Only in Natuurpunt
Agromyza reptans,Only in Natuurpunt
Agropyron cristatum,Only in Natuurpunt
Agrostemma brachyloba,Only in Natuurpunt
Agrostemma githago,Only in Natuurpunt
Agrostis avenacea,Only in Natuurpunt
Agrostis canina,Only in Natuurpunt
Agrostis capillaris,Only in Natuurpunt
Agrostis castellana,Only in Natuurpunt
Agrostis gigantea,Only in Natuurpunt
Agrostis scabra,Only in Natuurpunt
Agrostis stolonifera,Only in Natuurpunt
Agrostis vinealis,Only in Natuurpunt
Agrotera nemoralis,Only in Natuurpunt
Agrothereutes abbreviatus,Only in Natuurpunt
Agrothereutes aterrimus,Only in Natuurpunt
Agrothereutes leucorhaeus,Only in Natuurpunt
Agrotis clavis,Only in Natuurpunt
Agrotis exclamationis,Only in Natuurpunt
Agrotis ipsilon,Only in Natuurpunt
Agrotis puta,Only in Natuurpunt
Agrotis ripae,Only in Natuurpunt
Agrotis segetum,Only in Natuurpunt
Agrotis vestigialis,Only in Natuurpunt
Agrypnia obsoleta,Only in Natuurpunt
Agrypnia pagetana,Only in Natuurpunt
Agrypnia varia,Only in Natuurpunt
Agrypnus murinus,Only in Natuurpunt
Agrypon anxium,Only in Natuurpunt
Agrypon canaliculatum,Only in Natuurpunt
Agrypon flaveolatum,Only in Natuurpunt
